Name,IATA Code,ICAO Code,Country,City,Latitude,Longitude,Timezone,Departures
Atlantic City International Airport,ACY,KACY,US,Atlantic City,39.45762,-74.57654,EST,
Chicago O'Hare International Airport,ORD,KORD,US,Chicago,41.97959,-87.90446,CST,177167.0
Dallas/Fort Worth International Airport,DFW,KDFW,US,Dallas-Ft Worth,32.89595,-97.0372,CST,172447.0
Denver International Airport,DEN,KDEN,US,Denver,39.85891,-104.67326,MST,100565.0
Los Angeles International Airport,LAX,KLAX,US,Los Angeles,33.94251,-118.40897,PST,112571.0
