stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id,itinerary_id
1,4.25,839,cc3,al8,al3,it105
1,2.02,620,cc3,al15,al3,it106
1,2.78,620,cc3,al15,al3,it106
1,3.9,620,cc3,al15,al3,it107
1,2.0,620,cc3,al15,al3,it107
1,1.92,670,cc4,al5,al2,it108
1,2.52,670,cc4,al2,al2,it108
1,1.92,549,cc4,al5,al2,it109
1,2.85,549,cc4,al2,al2,it109
1,2.48,506,cc1,al4,al16,it110
1,2.38,457,cc1,al4,al16,it111
1,2.35,457,cc1,al4,al16,it111
1,2.28,460,cc1,al4,al16,it112
1,2.4,457,cc1,al4,al16,it113
1,2.38,457,cc1,al4,al16,it113
1,2.48,581,cc2,al4,al4,it114
1,2.38,581,cc2,al4,al4,it115
1,2.35,581,cc2,al4,al4,it115
1,2.28,581,cc2,al4,al4,it116
1,2.4,581,cc2,al4,al4,it117
1,2.38,581,cc2,al4,al4,it117
0,3.67,527,cc3,al2,al2,it118
0,3.73,649,cc3,al2,al2,it119
0,3.75,527,cc3,al5,al2,it120
0,3.57,596,cc4,al3,al15,it121
0,3.57,827,cc4,al3,al15,it122
1,1.92,549,cc4,al5,al2,it123
1,2.85,549,cc4,al2,al2,it123
1,1.92,549,cc4,al5,al2,it124
1,2.77,549,cc4,al2,al2,it124
1,1.92,549,cc4,al5,al2,it125
1,2.68,549,cc4,al2,al2,it125
2,0.98,346,cc1,al10,al11,it126
2,2.52,365,cc1,al14,al14,it127
2,2.52,365,cc1,al14,al14,it128
1,2.38,608,cc2,al4,al4,it129
1,2.35,608,cc2,al4,al4,it129
1,2.48,581,cc2,al4,al4,it130
0,3.67,527,cc3,al2,al2,it131
0,3.73,649,cc3,al2,al2,it132
0,3.75,649,cc3,al5,al2,it133
0,3.57,596,cc4,al3,al15,it134
0,3.57,827,cc4,al3,al15,it135
1,1.92,549,cc4,al5,al2,it136
1,2.68,549,cc4,al2,al2,it136
1,2.02,825,cc4,al15,al15,it137
1,2.78,825,cc4,al15,al15,it137
1,2.05,618,cc4,al13,al15,it138
1,2.78,618,cc4,al15,al15,it138
1,2.48,551,cc1,al4,al16,it139
1,2.28,614,cc1,al4,al16,it140
1,2.38,551,cc1,al4,al16,it141
1,2.38,477,cc1,al4,al16,it142
1,2.48,477,cc1,al4,al16,it143
1,2.38,450,cc1,al4,al16,it144
2,1.4,990,cc1,al16,al16,it145
2,2.97,990,cc1,al4,al16,it145
1,2.4,450,cc1,al4,al16,it146
1,2.48,608,cc2,al4,al4,it147
1,2.38,581,cc2,al4,al4,it148
0,3.67,527,cc3,al2,al2,it149
0,3.73,527,cc3,al2,al2,it150
0,3.75,1161,cc3,al5,al2,it151
0,3.57,596,cc4,al3,al15,it152
0,3.57,827,cc4,al3,al15,it153
1,1.92,809,cc4,al5,al2,it154
1,2.68,809,cc4,al2,al2,it154
1,1.92,549,cc4,al5,al2,it155
1,2.85,549,cc4,al2,al2,it155
1,2.48,797,cc4,al4,al4,it147
1,1.92,549,cc4,al5,al2,it156
1,2.85,549,cc4,al2,al2,it156
0,3.57,435,cc1,al3,al3,it157
0,3.57,398,cc1,al3,al3,it158
0,3.75,440,cc1,al5,al1,it159
1,2.28,447,cc1,al4,al16,it160
1,2.35,447,cc1,al4,al16,it160
1,2.52,444,cc1,al4,al16,it161
1,2.38,460,cc1,al4,al16,it162
1,2.35,460,cc1,al4,al16,it162
1,2.05,420,cc1,al12,al3,it163
1,2.78,420,cc1,al15,al3,it163
1,1.92,420,cc1,al8,al3,it164
1,2.78,420,cc1,al15,al3,it164
1,2.28,581,cc2,al4,al4,it165
1,2.35,581,cc2,al4,al4,it165
1,2.52,608,cc2,al4,al4,it166
1,2.28,581,cc2,al4,al4,it167
0,3.57,598,cc3,al3,al3,it158
0,3.57,1088,cc3,al3,al3,it157
0,3.67,527,cc3,al2,al2,it168
0,3.73,732,cc3,al2,al2,it169
0,3.75,649,cc3,al5,al2,it170
1,2.05,853,cc3,al12,al3,it163
1,2.78,853,cc3,al15,al3,it163
1,1.92,620,cc3,al8,al3,it164
1,2.78,620,cc3,al15,al3,it164
1,1.35,606,cc3,al3,al3,it171
1,4.25,606,cc3,al8,al3,it171
1,2.0,853,cc3,al15,al3,it172
1,2.85,853,cc3,al15,al3,it172
1,3.9,620,cc3,al15,al3,it173
1,2.0,620,cc3,al15,al3,it173
0,3.57,596,cc4,al3,al15,it174
0,3.57,1049,cc4,al3,al15,it175
1,1.92,670,cc4,al5,al2,it176
1,2.52,670,cc4,al2,al2,it176
1,1.92,809,cc4,al5,al2,it177
1,2.68,809,cc4,al2,al2,it177
1,1.92,618,cc4,al8,al15,it178
1,2.78,618,cc4,al15,al15,it178
2,0.98,471,cc1,al10,al11,it179
3,0.98,439,cc1,al10,al11,it180
1,2.48,645,cc2,al4,al4,it181
1,2.28,808,cc2,al4,al4,it182
0,3.67,788,cc3,al2,al2,it183
0,3.73,649,cc3,al2,al2,it184
0,3.75,788,cc3,al5,al2,it185
0,3.57,596,cc4,al3,al15,it186
0,3.57,827,cc4,al3,al15,it187
1,1.92,809,cc4,al5,al2,it188
1,2.68,809,cc4,al2,al2,it188
1,2.05,849,cc4,al13,al15,it189
1,2.78,849,cc4,al15,al15,it189
2,0.98,329,cc1,al10,al11,it190
3,0.98,296,cc1,al10,al11,it191
3,0.98,296,cc1,al10,al11,it192
1,2.27,661,cc2,al4,al4,it193
1,2.52,745,cc2,al4,al4,it194
0,3.67,527,cc3,al2,al2,it195
0,3.73,788,cc3,al2,al2,it196
0,3.75,649,cc3,al5,al2,it197
0,3.57,827,cc4,al3,al15,it198
0,3.57,1049,cc4,al3,al15,it199
1,1.92,809,cc4,al5,al2,it200
1,2.52,809,cc4,al2,al2,it200
1,1.92,809,cc4,al5,al2,it201
1,2.68,809,cc4,al2,al2,it201
2,0.98,267,cc1,al10,al11,it202
2,2.52,275,cc1,al14,al14,it203
2,2.52,275,cc1,al14,al14,it204
1,2.27,581,cc2,al4,al4,it205
1,2.52,581,cc2,al4,al4,it206
1,2.25,581,cc2,al4,al4,it207
1,2.35,581,cc2,al4,al4,it207
1,2.38,581,cc2,al4,al4,it208
1,2.35,581,cc2,al4,al4,it208
0,3.67,649,cc3,al2,al2,it209
0,3.73,527,cc3,al2,al2,it210
0,3.75,527,cc3,al5,al2,it211
0,3.57,596,cc4,al3,al15,it212
0,3.57,1049,cc4,al3,al15,it213
1,1.92,549,cc4,al5,al2,it214
1,2.52,549,cc4,al2,al2,it214
1,1.92,549,cc4,al5,al2,it215
1,2.68,549,cc4,al2,al2,it215
1,1.92,549,cc4,al5,al2,it216
1,2.63,549,cc4,al2,al2,it216
1,1.92,549,cc4,al5,al2,it217
1,2.63,549,cc4,al2,al2,it217
0,3.57,398,cc1,al3,al15,it218
0,3.57,575,cc1,al3,al15,it219
1,2.27,440,cc1,al4,al4,it220
1,2.02,420,cc1,al15,al15,it221
1,2.78,420,cc1,al15,al15,it221
1,2.05,420,cc1,al13,al15,it222
1,2.78,420,cc1,al15,al15,it222
1,2.27,608,cc2,al4,al4,it220
1,2.25,608,cc2,al4,al4,it223
1,2.35,608,cc2,al4,al4,it223
0,3.67,527,cc3,al2,al2,it224
0,3.73,527,cc3,al2,al2,it225
0,3.75,527,cc3,al5,al2,it226
0,3.57,596,cc4,al3,al15,it218
0,3.57,708,cc4,al3,al15,it219
1,1.92,549,cc4,al5,al2,it227
1,2.85,549,cc4,al2,al2,it227
1,1.92,549,cc4,al5,al2,it228
1,2.77,549,cc4,al2,al2,it228
1,1.92,549,cc4,al5,al2,it229
1,2.68,549,cc4,al2,al2,it229
1,1.92,549,cc4,al5,al2,it230
1,2.77,549,cc4,al2,al2,it230
2,0.98,363,cc1,al10,al11,it231
2,2.52,334,cc1,al14,al14,it232
2,2.52,312,cc1,al14,al14,it233
1,2.27,860,cc2,al4,al4,it234
1,2.25,808,cc2,al4,al4,it235
1,2.35,808,cc2,al4,al4,it235
1,2.27,808,cc2,al4,al4,it236
1,2.33,808,cc2,al4,al4,it236
0,3.67,527,cc3,al2,al2,it237
0,3.73,649,cc3,al2,al2,it238
0,3.75,593,cc3,al5,al2,it239
0,3.57,1049,cc4,al3,al15,it240
0,3.57,1558,cc4,al3,al15,it241
1,1.92,576,cc4,al5,al2,it242
1,2.68,576,cc4,al2,al2,it242
1,2.02,825,cc4,al15,al15,it243
1,2.78,825,cc4,al15,al15,it243
1,1.92,729,cc4,al8,al15,it244
1,2.78,729,cc4,al15,al15,it244
1,2.27,489,cc1,al4,al16,it245
1,2.27,677,cc1,al4,al4,it246
1,2.25,457,cc1,al4,al16,it247
1,2.35,457,cc1,al4,al16,it247
2,2.38,413,cc1,al4,al4,it248
1,2.27,808,cc2,al4,al4,it246
1,2.25,808,cc2,al4,al4,it249
1,2.35,808,cc2,al4,al4,it249
2,2.38,581,cc2,al4,al4,it248
0,3.67,527,cc3,al2,al2,it250
0,3.73,788,cc3,al2,al2,it251
0,3.75,593,cc3,al5,al2,it252
0,3.57,1049,cc4,al3,al15,it253
1,1.92,670,cc4,al5,al2,it254
1,2.68,670,cc4,al2,al2,it254
1,2.02,739,cc4,al15,al15,it255
1,2.78,739,cc4,al15,al15,it255
1,2.05,618,cc4,al13,al15,it256
1,2.78,618,cc4,al15,al15,it256
3,0.98,350,cc1,al10,al11,it257
1,2.27,581,cc2,al4,al4,it258
1,2.52,581,cc2,al4,al4,it259
1,2.4,581,cc2,al4,al4,it260
1,2.35,581,cc2,al4,al4,it260
1,2.25,581,cc2,al4,al4,it261
1,2.35,581,cc2,al4,al4,it261
0,3.67,527,cc3,al2,al2,it262
0,3.73,527,cc3,al2,al2,it263
0,3.75,527,cc3,al5,al2,it264
0,3.57,596,cc4,al3,al15,it265
0,3.57,1558,cc4,al3,al15,it266
1,1.92,549,cc4,al5,al2,it267
1,2.52,549,cc4,al2,al2,it267
1,1.92,549,cc4,al5,al2,it268
1,2.68,549,cc4,al2,al2,it268
1,1.92,549,cc4,al5,al2,it269
1,2.63,549,cc4,al2,al2,it269
1,2.52,770,cc4,al4,al4,it259
1,1.92,549,cc4,al5,al2,it270
1,2.63,549,cc4,al2,al2,it270
0,3.67,398,cc1,al2,al2,it271
0,3.73,398,cc1,al2,al2,it272
0,3.75,519,cc1,al5,al2,it273
2,2.33,413,cc1,al4,al4,it274
1,2.27,808,cc2,al4,al4,it275
1,2.25,608,cc2,al4,al4,it276
1,2.35,608,cc2,al4,al4,it276
0,3.67,527,cc3,al2,al2,it271
0,3.73,649,cc3,al2,al2,it272
0,3.75,788,cc3,al5,al2,it273
0,3.57,596,cc4,al3,al15,it277
0,3.57,596,cc4,al3,al15,it278
1,1.92,809,cc4,al5,al2,it279
1,2.52,809,cc4,al2,al2,it279
1,2.02,618,cc4,al15,al15,it280
1,2.78,618,cc4,al15,al15,it280
0,3.67,398,cc1,al2,al2,it281
0,3.73,398,cc1,al2,al2,it282
0,3.75,464,cc1,al5,al2,it283
1,1.92,404,cc1,al5,al2,it284
1,2.52,404,cc1,al2,al2,it284
1,1.92,404,cc1,al5,al2,it285
1,2.85,404,cc1,al2,al2,it285
1,2.27,661,cc2,al4,al4,it286
1,2.27,661,cc2,al4,al4,it287
1,2.33,661,cc2,al4,al4,it287
0,3.67,527,cc3,al2,al2,it281
0,3.73,649,cc3,al2,al2,it282
0,3.75,593,cc3,al5,al2,it283
0,3.57,596,cc4,al3,al15,it288
0,3.57,827,cc4,al3,al15,it289
1,1.92,809,cc4,al5,al2,it290
1,2.52,809,cc4,al2,al2,it290
1,1.92,670,cc4,al5,al2,it291
1,2.63,670,cc4,al2,al2,it291
2,0.98,253,cc1,al10,al11,it292
2,2.52,263,cc1,al14,al14,it293
2,2.52,263,cc1,al14,al14,it294
1,2.27,581,cc2,al4,al4,it295
1,2.52,608,cc2,al4,al4,it296
1,2.25,581,cc2,al4,al4,it297
1,2.35,581,cc2,al4,al4,it297
1,2.38,581,cc2,al4,al4,it298
1,2.35,581,cc2,al4,al4,it298
0,3.67,649,cc3,al2,al2,it299
0,3.73,527,cc3,al2,al2,it300
0,3.75,649,cc3,al5,al2,it301
0,3.57,596,cc4,al3,al15,it302
0,3.57,827,cc4,al3,al15,it303
1,1.92,549,cc4,al5,al2,it304
1,2.85,549,cc4,al2,al2,it304
1,1.92,549,cc4,al5,al2,it305
1,2.52,549,cc4,al2,al2,it305
0,3.57,398,cc1,al3,al15,it306
0,3.57,398,cc1,al3,al15,it307
1,2.02,420,cc1,al15,al15,it308
1,2.78,420,cc1,al15,al15,it308
1,2.52,413,cc1,al4,al4,it309
1,2.27,808,cc2,al4,al4,it310
1,2.52,581,cc2,al4,al4,it309
1,2.25,608,cc2,al4,al4,it311
1,2.35,608,cc2,al4,al4,it311
1,2.52,560,cc2,al4,al4,it312
1,2.35,560,cc2,al4,al4,it312
0,3.57,598,cc3,al3,al3,it313
0,3.57,831,cc3,al3,al3,it314
0,3.67,527,cc3,al2,al2,it315
0,3.73,649,cc3,al2,al2,it316
0,3.75,527,cc3,al5,al2,it317
1,1.92,1588,cc3,al3,al3,it318
1,2.78,1588,cc3,al15,al3,it318
1,2.0,853,cc3,al15,al3,it319
1,2.85,853,cc3,al15,al3,it319
1,1.92,853,cc3,al8,al3,it320
1,2.78,853,cc3,al15,al3,it320
1,1.35,839,cc3,al3,al3,it321
1,4.25,839,cc3,al8,al3,it321
1,3.9,853,cc3,al15,al3,it322
1,2.0,853,cc3,al15,al3,it322
0,3.57,596,cc4,al3,al15,it306
0,3.57,827,cc4,al3,al15,it307
1,1.92,670,cc4,al5,al2,it323
1,2.68,670,cc4,al2,al2,it323
1,2.02,618,cc4,al15,al15,it308
1,2.78,618,cc4,al15,al15,it308
1,1.92,549,cc4,al5,al2,it324
1,2.85,549,cc4,al2,al2,it324
1,1.92,549,cc4,al5,al2,it325
1,2.68,549,cc4,al2,al2,it325
1,2.27,567,cc1,al4,al16,it326
1,2.52,506,cc1,al4,al16,it327
1,2.25,567,cc1,al4,al16,it328
1,2.27,506,cc1,al4,al16,it329
1,2.38,567,cc1,al4,al16,it330
1,2.25,506,cc1,al4,al16,it331
1,2.38,506,cc1,al4,al16,it332
1,2.4,460,cc1,al4,al16,it333
1,2.27,460,cc1,al4,al16,it334
1,2.25,460,cc1,al4,al16,it335
1,2.27,808,cc2,al4,al4,it336
1,2.25,608,cc2,al4,al4,it337
1,2.35,608,cc2,al4,al4,it337
1,2.38,581,cc2,al4,al4,it338
1,2.35,581,cc2,al4,al4,it338
1,2.52,581,cc2,al4,al4,it339
1,2.4,581,cc2,al4,al4,it340
1,2.38,581,cc2,al4,al4,it340
0,3.67,527,cc3,al2,al2,it341
0,3.73,649,cc3,al2,al2,it342
0,3.75,527,cc3,al5,al2,it343
1,1.92,1007,cc4,al5,al2,it344
1,2.52,1007,cc4,al2,al2,it344
1,1.92,576,cc4,al5,al2,it345
1,2.68,576,cc4,al2,al2,it345
1,2.27,489,cc1,al4,al16,it346
1,2.25,440,cc1,al4,al4,it347
1,2.35,440,cc1,al4,al4,it347
1,2.27,808,cc2,al4,al4,it348
1,2.25,608,cc2,al4,al4,it347
1,2.35,608,cc2,al4,al4,it347
1,2.38,581,cc2,al4,al4,it349
1,2.35,581,cc2,al4,al4,it349
0,3.67,527,cc3,al2,al2,it350
0,3.73,788,cc3,al2,al2,it351
0,3.75,593,cc3,al5,al2,it352
0,3.57,596,cc4,al3,al15,it353
0,3.57,1049,cc4,al3,al15,it354
1,1.92,549,cc4,al5,al2,it355
1,2.68,549,cc4,al2,al2,it355
1,2.05,618,cc4,al13,al15,it356
1,2.78,618,cc4,al15,al15,it356
0,3.57,398,cc1,al3,al15,it357
0,3.57,398,cc1,al3,al15,it358
1,2.27,413,cc1,al4,al4,it359
1,2.25,440,cc1,al4,al4,it360
1,2.35,440,cc1,al4,al4,it360
1,2.25,413,cc1,al4,al4,it361
1,2.27,581,cc2,al4,al4,it359
1,2.52,581,cc2,al4,al4,it362
1,2.4,581,cc2,al4,al4,it363
1,2.35,581,cc2,al4,al4,it363
1,2.25,608,cc2,al4,al4,it360
1,2.35,608,cc2,al4,al4,it360
0,3.57,598,cc3,al3,al3,it364
0,3.57,598,cc3,al3,al3,it365
0,3.67,527,cc3,al2,al2,it366
0,3.73,527,cc3,al2,al2,it367
0,3.75,527,cc3,al5,al2,it368
1,2.05,811,cc3,al13,al3,it369
1,2.78,811,cc3,al15,al3,it369
1,2.05,620,cc3,al12,al3,it370
1,2.78,620,cc3,al15,al3,it370
1,3.9,620,cc3,al15,al3,it371
1,2.03,620,cc3,al15,al3,it371
1,2.02,620,cc3,al15,al3,it372
1,2.78,620,cc3,al15,al3,it372
1,3.9,620,cc3,al15,al3,it373
1,2.0,620,cc3,al15,al3,it373
0,3.57,596,cc4,al3,al15,it357
0,3.57,596,cc4,al3,al15,it358
1,1.92,549,cc4,al5,al2,it374
1,2.68,549,cc4,al2,al2,it374
0,3.57,435,cc1,al3,al15,it375
0,3.57,398,cc1,al3,al15,it376
1,2.27,506,cc1,al4,al16,it377
1,2.27,677,cc1,al4,al4,it378
1,2.25,489,cc1,al4,al16,it379
1,2.35,489,cc1,al4,al16,it379
1,2.27,567,cc1,al4,al16,it380
1,2.33,567,cc1,al4,al16,it380
1,2.25,506,cc1,al4,al16,it381
1,2.27,808,cc2,al4,al4,it378
1,2.25,745,cc2,al4,al4,it382
1,2.35,745,cc2,al4,al4,it382
1,2.47,808,cc2,al4,al4,it383
0,3.57,831,cc3,al3,al3,it384
0,3.57,1088,cc3,al3,al3,it385
0,3.67,788,cc3,al2,al2,it386
0,3.73,649,cc3,al2,al2,it387
0,3.75,788,cc3,al5,al2,it388
1,1.92,1588,cc3,al3,al3,it389
1,2.78,1588,cc3,al15,al3,it389
1,2.05,1110,cc3,al13,al3,it390
1,2.78,1110,cc3,al15,al3,it390
1,1.92,1110,cc3,al8,al3,it391
1,2.78,1110,cc3,al15,al3,it391
1,1.35,606,cc3,al3,al3,it392
1,4.25,606,cc3,al8,al3,it392
1,1.28,968,cc3,al8,al3,it393
1,4.25,968,cc3,al8,al3,it393
1,1.92,1294,cc4,al5,al2,it394
1,2.52,1294,cc4,al2,al2,it394
1,1.92,670,cc4,al5,al2,it395
1,2.68,670,cc4,al2,al2,it395
1,2.27,997,cc4,al4,al4,it378
1,1.92,1183,cc4,al5,al2,it396
1,2.63,1183,cc4,al2,al2,it396
1,2.27,997,cc4,al4,al4,it397
1,2.33,997,cc4,al4,al4,it397
1,2.27,567,cc1,al4,al16,it398
1,2.52,567,cc1,al4,al16,it399
1,2.4,477,cc1,al4,al16,it400
1,2.38,477,cc1,al4,al16,it400
2,0.98,284,cc1,al10,al11,it401
1,2.27,808,cc2,al4,al4,it402
1,2.52,608,cc2,al4,al4,it403
0,3.67,527,cc3,al2,al2,it404
0,3.73,649,cc3,al2,al2,it405
0,3.75,649,cc3,al5,al2,it406
0,3.57,827,cc4,al3,al15,it407
0,3.57,827,cc4,al3,al15,it408
1,1.92,809,cc4,al5,al2,it409
1,2.68,809,cc4,al2,al2,it409
1,2.52,797,cc4,al4,al4,it403
1,2.27,413,cc1,al4,al4,it410
1,2.27,460,cc1,al4,al16,it411
1,2.25,413,cc1,al4,al4,it412
1,2.35,413,cc1,al4,al4,it412
1,2.27,581,cc2,al4,al4,it410
1,2.52,608,cc2,al4,al4,it413
1,2.25,581,cc2,al4,al4,it412
1,2.35,581,cc2,al4,al4,it412
1,2.38,581,cc2,al4,al4,it414
