Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
Burns Lake Airport,YPZ,CYPZ,CA,Burns Lake,YPZ,54.37639,-125.95139,America/Vancouver,
Burwash Airport,YDB,CYDB,CA,Burwash Landing,,61.37111,-139.04056,America/Whitehorse,
Byron Bay Airport,YUK,CYUK,CA,,,68.75623,-109.08875,America/Cambridge_Bay,
Cabin Plant Heliport,DCP,,CA,,,59.23226,-121.71397,America/Fort_Nelson,
Cache Creek Airport,YZA,,CA,Cache Creek,,50.77381,-121.32133,America/Vancouver,
Calgary International Airport,YYC,CYYC,CA,Calgary,YYC,51.12933,-114.01294,America/Edmonton,35123
Calgary/Springbank Airport,,CYBW,CA,Calgary,YYC,51.10306,-114.37444,America/Edmonton,
Cambridge Bay Airport,YCB,CYCB,CA,Cambridge Bay,YCB,69.10805,-105.13833,America/Cambridge_Bay,322
Campbell River Airport,YBL,CYBL,CA,Campbell River,YBL,49.95083,-125.27083,America/Vancouver,236
Campbell River Waterdrome,YHH,,CA,Campbell River,YBL,50.04733,-125.25624,America/Vancouver,
Cape Dorset Airport,YTE,CYTE,CA,Kinngait,YTE,64.23094,-76.52862,America/Iqaluit,134
Cape Dyer,YVN,,CA,,,66.5919,-61.5733,America/Iqaluit,
Cape Young Seaplane Base,,CYUI,CA,,,68.93333,-116.91667,America/Cambridge_Bay,
Carp Airport,,CYRP,CA,Ottawa,YOW,45.31827,-76.02063,America/Toronto,
Cartwright Airport,YRF,CYCA,CA,Cartwright,YRF,53.6844,-57.03787,America/Goose_Bay,
Cat Lake Airport,YAC,CYAC,CA,Cat Lake,YAC,51.7272,-91.8244,America/Winnipeg,
Centralia/James T. Field Memorial Aerodrome,YCE,CYCE,CA,Huron Park,,43.2856,-81.5083,America/Toronto,
CFB Borden Heliport,,CYBN,CA,Borden,,44.271702,-79.912498,America/Nipigon,
CFB Borden Heliport,YBN,,CA,Barrie,YLK,44.2693,-79.9152,America/Toronto,
CFB Cold Lake,YOD,CYOD,CA,Cold Lake,YOD,54.40404,-110.27879,America/Edmonton,
CFB Edmonton,YED,CYED,CA,Edmonton,YEA,53.67434,-113.4783,America/Edmonton,
CFB Gagetown,YCX,CYCX,CA,Oromocto,YFC,45.83661,-66.43787,America/Moncton,
CFB Goose Bay,YYR,CYYR,CA,Goose Bay,YYR,53.31601,-60.4188,America/Goose_Bay,494
CFB Greenwood,YZX,CYZX,CA,Greenwood,,44.98444,-64.91694,America/Halifax,
CFB Moose Jaw,YMJ,CYMJ,CA,Moose Jaw,YMJ,50.33028,-105.55917,America/Regina,
CFB Shilo,YLO,,CA,Brandon,YBR,49.80598,-99.64527,America/Winnipeg,
CFB Suffield,YSD,CYSD,CA,Ralston,,50.27368,-111.18928,America/Edmonton,
CFB Trenton,YTR,CYTR,CA,Trenton,XVV,44.11889,-77.52806,America/Toronto,
CFB Valcartier,YOY,CYOY,CA,Quebec,YQB,46.9014,-71.50246,America/Toronto,
Chapleau Airport,YLD,CYLD,CA,Chapleau,,47.82088,-83.35276,America/Toronto,
Charlevoix Airport,YML,CYML,CA,Charlevoix,,47.5975,-70.22389,America/Toronto,
Charlo Airport,YCL,CYCL,CA,Charlo,YCL,47.99083,-66.33028,America/Moncton,
Charlottetown Airport,YYG,CYYG,CA,Charlottetown,YYG,46.2864,-63.1265,America/Halifax,585
Charlottetown Airport,YHG,CCH4,CA,Charlottetown,YHG,52.76489,-56.11731,America/St_Johns,
Chatham-Kent Airport,XCM,CYCK,CA,Chatham-Kent,XCM,42.3081,-82.07894,America/Toronto,
Chatham Point Light Station Helipad,,CWFM,CA,Chatham Point,,50.333101,-125.445263,America/Vancouver,
Cheadle Airport,TIL,,CA,Cheadle,YYC,51.05737,-113.62095,America/Edmonton,
Chesterfield Inlet Airport,YCS,CYCS,CA,Chesterfield Inlet,YCS,63.34587,-90.72759,America/Rankin_Inlet,
Chetwynd Airport,YCQ,CYCQ,CA,Chetwynd,,55.68722,-121.62667,America/Dawson_Creek,
Chevery Airport,YHR,CYHR,CA,Chevery,YHR,50.4689,-59.6367,America/Blanc-Sablon,
Chibougamau/Chapais Airport,YMT,CYMT,CA,Chibougamau,YMT,49.77194,-74.52806,America/Toronto,14
Chicoutimi/Saint-Honore Aerodrome,,CYRC,CA,Saint-Honoré,YBG,48.5207,-71.05056,America/Toronto,
Chilliwack Airport,YCW,CYCW,CA,Chilliwack,YCW,49.15364,-121.94301,America/Vancouver,
Chisasibi Airport,YKU,,CA,Chisasibi,YKU,53.8056,-78.9169,America/Toronto,
Churchill Airport,YYQ,CYYQ,CA,Churchill,YYQ,58.74051,-94.07267,America/Winnipeg,
Churchill Falls Airport,ZUM,CZUM,CA,Churchill Falls,ZUM,53.56194,-64.10639,America/Goose_Bay,30
Chute-Des-Passes Airport,YWQ,,CA,Chutes-des-Passes,,49.88695,-71.25659,America/Toronto,
Cigar Lake Airport,,CJW7,CA,Cigar Lake,,58.056153,-104.483377,America/Regina,
Clarence and Abel Swallow Airport,,CFX5,CA,,,52.7305,-72.22083,America/Toronto,
"CLINTON/BLEIBLER RANCH,BC",,CYIN,CA,,,51.266336,-121.684683,America/Vancouver,
Cluff Lake Airport,XCL,,CA,Cluff Lake,,58.39110184,-109.5159988,America/Swift_Current,
Clyde River Airport,YCY,CYCY,CA,Clyde River,YCY,70.48611,-68.51667,America/Iqaluit,133
Cochrane Airport,YCN,CYCN,CA,Cochrane,YCN,49.1056,-81.0136,America/Toronto,
Collins Bay Airport,YKC,CYKC,CA,Collins Bay,YKC,58.23298,-103.68141,America/Regina,
Colville Lake/Tommy Kochon Aerodrome,YCK,CYVL,CA,Colville Lake,YCK,67.03973,-126.0815,America/Yellowknife,
Comox Valley Airport,YQQ,CYQQ,CA,Comox,YQQ,49.71083,-124.88667,America/Vancouver,1478
Conklin (Leismer) Airport,CFM,CET2,CA,Conklin,,55.69589,-111.28071,America/Edmonton,
Coral Harbour Airport,YZS,CYZS,CA,Coral Harbour,YZS,64.19333,-83.35944,America/Atikokan,
Cornwall Regional Airport,YCC,CYCC,CA,Cornwall,YCC,45.0928,-74.5633,America/Toronto,
Coronation Airport,YCT,CYCT,CA,Coronation,,52.07573,-111.44814,America/Edmonton,
Cortes Bay Waterdrome,YCF,,CA,Campbell River,YBL,50.06171,-124.93116,America/Vancouver,
Courtenay Airpark,YCA,CAH3,CA,Courtenay,YCA,49.68057,-124.98257,America/Vancouver,
Cowley Airport,YYM,CYYM,CA,Cowley,,49.63606,-114.09645,America/Edmonton,
Cranbrook/Canadian Rockies International Airport,YXC,CYXC,CA,Cranbrook,YXC,49.61222,-115.78194,America/Edmonton,855
Creston Aerodrome,CFQ,,CA,,,49.03608,-116.49795,America/Creston,
Cross Lake (Charlie Sinclair Memorial) Airport,YCR,CYCR,CA,Cross Lake,YCR,54.6106,-97.7608,America/Winnipeg,
Dawson City Airport,YDA,CYDA,CA,Dawson City,YDA,64.04306,-139.12778,America/Whitehorse,126
Dawson Creek Airport,YDQ,CYDQ,CA,Dawson Creek,YDQ,55.74233,-120.183,America/Dawson_Creek,
Dean River Airport,YRD,,CA,Kimsquit Valley,,52.82338,-126.96543,America/Vancouver,
Dease Lake Airport,YDL,CYDL,CA,Dease Lake,YDL,58.42509,-130.02354,America/Vancouver,
Deer Lake Airport,YVZ,CYVZ,CA,Deer Lake,YVZ,52.6558,-94.0614,America/Winnipeg,54
Deer Lake Regional Airport,YDF,CYDF,CA,Deer Lake,YDF,49.21083,-57.39139,America/St_Johns,841
Deer Lake Seaplane Base,,CJA8,CA,,,52.61696,-94.04486,America/Winnipeg,
Deline Airport,YWJ,CYWJ,CA,Déline,YWJ,65.21054,-123.43569,America/Yellowknife,322
Denny Island Aerodrome,ZEL,CYJQ,CA,Denny Island,,52.13781,-128.06007,America/Vancouver,118
Desolation Sound,YDS,,CA,Desolation Sound,YDS,50.333332,-125,America/Vancouver,
Diavik Airport,DVK,,CA,Diavik,,64.51083,-110.30531,America/Yellowknife,
Digby/Annapolis Regional Airport,YDG,CYID,CA,Digby,,44.54877,-65.78545,America/Halifax,
Dolbeau-Saint-Felicien Airport,YDO,CYDO,CA,Dolbeau-Saint-Felicien,,48.7785,-72.375,America/Toronto,
Donnelly Airport,YOE,,CA,Donnelly,,55.70917,-117.10078,America/Edmonton,
Doris Lake Seaplane Base,JOJ,,CA,Hope Bay,,68.12664,-106.59107,America/Cambridge_Bay,
Douglas Lake Airport,DGF,,CA,Douglas Lake,,50.16275,-120.13992,America/Vancouver,
Downsview Airport,YZD,CYZD,CA,North York,XPN,43.74335,-79.46609,America/Toronto,
Drayton Valley Industrial Airport,YDC,,CA,Drayton Valley,,53.265,-114.962,America/Edmonton,
Dryden Regional Airport,YHD,CYHD,CA,Dryden,YHD,49.83167,-92.74417,America/Winnipeg,105
Duncan Airport,DUQ,CAM3,CA,Duncan,DUQ,48.754534,-123.709702,America/Vancouver,
Ear Falls Airport,,CYMY,CA,Ear Falls,,50.71780014,-93.38359833,America/Rainy_River,
Earlton (Timiskaming Regional) Airport,YXR,CYXR,CA,Earlton,YXR,47.69581,-79.85211,America/Toronto,
Eastmain River Airport,ZEM,CZEM,CA,Eastmain River,ZEM,52.22927,-78.5219,America/Toronto,14
Edmonton City Centre Airport,YXD,CYXD,CA,Edmonton,YEA,53.5725,-113.52056,America/Edmonton,
Edmonton/Cooking Lake Airport,,CEE7,CA,Edmonton,YEA,53.42569,-113.11001,America/Edmonton,
Edmonton International Airport,YEG,CYEG,CA,Edmonton,YEA,53.30801,-113.58447,America/Edmonton,13477
