Name,IATA Code,ICAO Code,Country,City,Latitude,Longitude,Timezone,Departures
Billy Bishop Toronto City Airport,YTZ,CYTZ,CA,Toronto,43.62974,-79.39828,EST,
Montreal-Pierre Elliott Trudeau International Airport,YUL,CYUL,CA,Montreal,45.46106,-73.75019,EST,35190.0
Ottawa Macdonald-Cartier International Airport,YOW,CYOW,CA,Ottawa,45.3225,-75.66917,EST,10293.0
Toronto Pearson International Airport,YYZ,CYYZ,CA,Toronto,43.68066,-79.61286,EST,72355.0
