Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
Buffalo Airways,US,,,,BUFFALOAIR,N/A,,,,,,,,,,,,,,
Buffalo Airways,CA,J0*,916,,BUFFALO,N/A,0,,,1,,17,52.8,10,0,,,facebook.com/BuffaloAirways,instagram.com/buffaloairways,
Buffalo River Aircraft Services,US,,,,OUTFITTER,N/A,,,1,1,,,,,,,,,,
Bukovyna,UA,,,,BUKOVYNA,N/A,,,1,,,,,,,,,,,
Bul Air,BG,LB*,,,BULGARY,N/A,1,2025-05-13T00:00:00.000Z,1,,,3,22.7,0,0,,,,,
Bulgaria Air,BG,FB,623,623,FLYINGBULGARIA,N/A,1,2025-12-27T00:00:00.000Z,1,1,1,7,10.3,0,0,,,facebook.com/bgair,instagram.com/bulgariaairairlines/,linkedin.com/company/bulgaria-air
Bulgaria Heli Med Service,BG,,,,HELIMEDIC,N/A,,,,,,,,,,,,,,
Bulgarian Eagle,BG,,,,BULGARIANEAGLE,N/A,,,,,,,,,,,,,,
Bulgarian Air Force,BG,,,,BULAF,N/A,,,1,,,,,,,,,,,
Bun Air Corporation Ltd.,US,,,,BUNAIR,N/A,0,,,,,4,18.8,0,0,,,facebook.com/Bun-Air-Corporation-149023561790777,,
Bundespolizei-Fliegergruppe,DE,,,,PIROL,N/A,,,,,,,,,,,,facebook.com/BundespolizeiKarriere,instagram.com/bundespolizeikarriere/,
"BUNDLED AERIAL MAPPING ASSTS, LLC (HUNTSVILLE, AL) ",US,,,,AIRBAMA,N/A,,,,,,,,,,,,,,
Buraq Air Transport,LY,UZ,928,928,BURAQAIR,N/A,0,,1,1,1,2,19,1,0,,,facebook.com/Buraqair,,
Bureau Veritas,FR,,,,,N/A,,,,,,,,,,,,,,
Air Burkina,BF,2J,,226,BURKINA,N/A,1,2024-03-19T00:00:00.000Z,1,,1,2,11.5,0,0,,,,,
Burundaiavia,KZ,,,,RURUN,N/A,,,,,,,,,,,,,,
Burundayavia,KZ,,,,BURAIR,N/A,0,,,,,19,30.2,0,0,,,,,
Air Burundi,BI,,,,AIRBURUNDI,N/A,,,1,,1,,,,,,,,,
Air Busan,KR,BX,982,982,AIRBUSAN,N/A,0,,1,1,1,22,13,0,0,,,,,
Business Aero,RU,,,,,N/A,0,,,,,2,21,0,0,,,,,
International Business Aircraft,US,,,,CENTRALSTAGE,N/A,,,,,,,,,,,,,,
Business Airfreight,US,,,,RATTLER,N/A,,,,,,,,,,,,,,
Business Aviation Asia,HK,UN*,,,UNITEDASIA,N/A,,,1,,,,,,,,,,,
Business Aviators,US,,,,OUTLAW,N/A,0,,1,,,6,11.3,0,0,,,,,
Business Air,HU,,,,BUSINESSHUNGARY,N/A,,,,,,,,,,,,,,
Business Jet Solutions,US,,,,SOLUTION,N/A,,,,,,,,,,,,,,
"Air Business, S.L.",ES,,,,AERONEGOCIOS,N/A,,,,,,,,,,,,,,
Business Wings,DE,,,,JUMPRUN,N/A,,,0,1,1,,,,,,,,,linkedin.com/company/businesswings-luftfahrtuntenehmen-gmbh
Buta Airways,AZ,,,,,N/A,,,,,,,,,,,,,,
Butane Buzzard Aviation,UK,,,,BUZZARD,N/A,,,,,,,,,,,,,,
Butlers Aviation,BS,,,,BUTLERS,N/A,,,,,,,,,,,,,,
Butte Aviation,US,,,,PIPESTONE,N/A,,,,,,,,,,,,,,
BUZZ,PL,RR,,,MAGICSUN,N/A,0,,1,,,47,3.3,0,0,,,,,
BVG Viajes,MX,,,,BEEVEEGEEVIAJES,N/A,0,,,,,2,21.5,0,0,,,,,
Bygone Aviation,US,,,,BYGONE,N/A,,,,,,,,,,,,,,
Bylina,RU,,,,BYLINA,N/A,,,,,,,,,,,,,,
BySky,BY,,,,BELSKY,N/A,,,1,,,,,,,,,facebook.com/BySky.aero,instagram.com/bysky.aero,linkedin.com/company/bysky
C.A.I. - Compagnia Aeronautica Italiana,IT,,,,AIRCAI,N/A,,,1,0,0,,,,,,,,,
C And M Aviation,US,,,,TRANSPAC,N/A,,,,,,,,,,,,,,
C&I Corporation,RO,,,,NIKOLAUS,N/A,0,,,,,1,11,0,0,,,,,
C & M Airways,US,,,,REDWING,N/A,,,,,,,,,,,,,,
"C.S.P., Societe",MR,,,,AIRMAUR,N/A,,,,,,,,,,,,,,
CAA Airworthiness Division,UK,,,,BRABAZON,N/A,,,,,,,,,,,,,,linkedin.com/company/civil-aviation-authority
CAA Directorate of Airspace Policy (IFP),UK,,,,ALLWEATHER,N/A,,,,,,,,,,,,,,
CAA Flight Examiners,UK,,,,EXAM,N/A,,,1,,,,,,,,,,,
CAA Flying Unit,UK,,,,MINAIR,N/A,,,,,,,,,,,,,,
CAA Training Standards,UK,,,,STANDARDS,N/A,,,,,,,,,,,,,,
CAAS,KG,,,,PEGAS,N/A,,,,,,,,,,,,,,
Cabo Verde Express,CV,,,,KABEX,N/A,,,,,,,,,,,,,,
Cabo Verde Airlines,CV,VR,696,696,CABOVERBE,N/A,,,1,1,1,,,,,,,facebook.com/caboverdeairlines,instagram.com/caboverdeairlines/,
CAE GmbH,DE,,,,CAESAR,N/A,,,,,,,,,,,,,,
CAE Aviation,LU,,,,LUXVAN,N/A,0,,1,,,19,26.3,0,0,,,,,
Caicos Express Airways,TC,9Q,,,CAICOS,N/A,,,1,1,1,,,,,,,,,
Cairo Aviation,EG,,,,,N/A,,,1,1,,,,,,,,,,
Air Cairo,EG,SM,381,381,AIRCAIRO,N/A,1,2025-03-26T00:00:00.000Z,1,1,1,5,12.8,0,0,,,,,
Cal Gulf Aviation,ST,,,,CALGULF,N/A,,,,,,,,,,,,,,
Cal-West Aviation,US,,,,CALAIR,N/A,,,,,,,,,,,,,,
Calafia Airlines,MX,,,,CALAFIA,N/A,,,1,,1,10,19.4,,,,,facebook.com/{{sN.id}},instagram.com/calafiaairlines/,
Air Caledonie,NC,TY,190,190,AIRCAL,N/A,1,2024-10-30T00:00:00.000Z,1,1,1,,,,,,,,,
Caliber Jet Charter,US,,,,CALIBERJET,N/A,,,,,,,,,,,,,,
California Department of Forestry and Fire Prevention,US,,,,CALFIRE,N/A,,,,,,,,,,,,facebook.com/CALFIRE,instagram.com/calfire/,
California Air Shuttle,US,,,,CALIFORNIASHUTTLE,N/A,,,,,,,,,,,,,,
Calm Air International,CA,MO,622,622,CALMAIR,N/A,0,,1,1,1,12,28.7,0,0,,,facebook.com/CalmAirInternational,instagram.com/calmair/,linkedin.com/company/calmair
CALSTAR,US,,,,CALSTARMED,N/A,,,1,,,,,,,,,facebook.com/CALSTAR-132572265036,instagram.com/explore/locations/12040587/calstar/,linkedin.com/company/california-shock-trauma-air-rescue/
Cam Air Management,UK,,,,CAMEO,N/A,,,,,,,,,,,,,,
Camair-Co,CM,QC,,40,CAMAIRCO,N/A,1,2024-04-29T00:00:00.000Z,1,1,1,1,21,,,,,facebook.com/camairco,instagram.com/camair_co_officiel/,linkedin.com/company/1346174/
Cambodia Angkor Air,KH,K6,188,188,CAMBODIAAIR,N/A,1,2025-01-13T00:00:00.000Z,1,1,1,5,7.4,0,0,,,facebook.com/CambodiaAngkorAirK6,,
Cambodia Airways,KH,KR,,733,GIANTIBIS,N/A,0,,1,,1,3,7.7,0,0,,,,,
CAMEX Adria Airlines,SI,,,,CAMEXADRIA,N/A,,,,1,1,,,,,,,,,
CAMEX Airlines,GE,Z7*,207,,CAMEX,N/A,,,,1,,,,,,,,,,
Air Canada,CA,AC,14,14,AIRCANADA,N/A,1,2024-04-18T00:00:00.000Z,1,1,1,98,11.7,0,0,,,facebook.com/aircanada,instagram.com/_u/aircanada,
Canada Jet Charters,CA,,,,PINNACLE,N/A,,,,,,,,,,,,,,
Air Canada rouge,CA,RV,,,ROUGE,N/A,1,2024-04-16T00:00:00.000Z,1,1,1,,,,,,,facebook.com/aircanadarouge,instagram.com/aircanadarouge/,
Canada - Transport Canada,CA,,,,TRANSPORT,N/A,,,1,1,1,,,,,,,,,
Canadian Armed Forces,CA,,,,CANFORCE,N/A,,,,,,,,,,,,,,
Canadian Coast Guard,CA,,,,CANADIANCOASTGUARD,N/A,,,1,,,22,4.4,,,,,,,
Canadian Airways Congo,CG,,,,CANAIR,N/A,,,,,,,,,,,,facebook.com/canadianairwaysOfficiel,,
Canadian Helicopters,CA,,,,WHISTLER,N/A,,,,,,,,,,,,,,
Canadian National Telecommunications,CA,,,,,N/A,,,,,,,,,,,,,,
Canadian Pacific Railway,CA,,,,RAILCAR,N/A,,,,,,,,,,,,facebook.com/canadian.pacific,,linkedin.com/company/canadian-pacific-railway
Canadian Warplane Heritage Museum,CA,,,,WARPLANEHERITAGE,N/A,,,,,,,,,,,,,,
Canair,CA,,,,CANAIR,N/A,,,,,,,,,,,,,,
Canair,ES,,,,CANAIR,N/A,,,1,,1,,,,,,,,,
Canarias Aeronautica,ES,,,,CANARIASLINK,N/A,,,,,,,,,,,,,,
Canaryfly,ES,PM,,,CANARY,N/A,1,2024-06-15T00:00:00.000Z,1,1,1,6,11.7,0,0,,,facebook.com/canaryfly.airlines,instagram.com/canaryfly/,linkedin.com/company/canaryfly
Canavia,ES,,,,CANAVIA,N/A,,,1,,,,,,,,,facebook.com/CANAVIA.ES,instagram.com/canavia.es/,linkedin.com/company/10127593/admin/
Candy & Candy Helicopters,UK,,,,CANDY,N/A,,,,,,,,,,,,,,
Canlink Aviation,CA,,,,EASTWIND,N/A,,,,,,,,,,,,facebook.com/FlyMFC,,
Air Cannes Mediterranee,FR,,,,CANNESAZUR,N/A,,,,,,,,,,,,,,
CanWest Air,CA,,,,CANWEST,N/A,,,1,0,0,,,,,,,,,
Cape Air,US,9K,,306,CAIR,N/A,0,,1,,1,100,32.5,0,0,,,facebook.com/CapeAir,instagram.com/capeair/,linkedin.com/company/capeair
Cape Central Airways,US,,,,SEMO,N/A,,,,,,,,,,,,,,
Cape Air Transport,AU,,,,,N/A,,,,,,,,,,,,,,
Capital Air Ambulance,UK,,,,PRESTIGE,N/A,,,,,,,,,,,,facebook.com/UKAIRAMBULANCE,instagram.com/capitalairambulance/,linkedin.com/company/capitalairambulance/
Capital City Air Carriers,US,,,,CAPCITY,N/A,,,,,,,,,,,,,,
Capital Airlines,KE,,,,CAPITALDELTA,N/A,0,,1,,,2,41,0,0,,,facebook.com/capitalairlines,,
Capital Air,ZA,,,,CAPITAL,N/A,,,,,,,,,,,,,,
Capital Airlines,NG,,,,CAPITALSHUTTLE,N/A,,,,,,,,,,,,,,
Capital Air Service,US,,,,CAPAIR,N/A,,,,,,,,,,,,,,
Capital Air Services,UK,,,,WOODSTOCK,N/A,0,,1,,,3,14.7,0,0,,,facebook.com/capitalairservices,instagram.com/capitalairservices1,linkedin.com/company/capitalairservicesltd
Capitol Wings Airline,US,,,,CAPWINGS,N/A,,,,,,,,,,,,,,
CapJet,US,,,,CAPJET,N/A,,,,,,,,,,,,,,
Air Caraibes Atlantique,GP,,,427,CARLINE,N/A,1,2025-03-20T00:00:00.000Z,1,,,,,,,,,facebook.com/aircaraibes,instagram.com/aircaraibes,
Air Caraibes,GP,TX,427,427,FRENCHWEST,N/A,,,1,1,1,,,,,,,facebook.com/aircaraibes,instagram.com/aircaraibes,
Caravan Air,MR,,,,CAMEL,N/A,,,,,,,,,,,,,,
Cardig Air,ID,7D,,,CARDIGAIR,N/A,0,,,1,1,2,31,0,0,,,,,
"CARDINAL/AIR VIRGINIA (LYNCHBURG, VA)",US,,,,AIRVIRGINIA,N/A,,,,,,,,,,,,,,
Air Care Alliance,US,,,,COMPASSION,N/A,,,1,,,,,,,,,,,
Care Flight,AU,,,,CAREFLIGHT,N/A,,,,,,,,,,,,facebook.com/mycareflight,instagram.com/mycareflight/,linkedin.com/company/careflight
Careflight (QLD) Limited,AU,,,,SAMARITAN,N/A,,,,,,,,,,,,facebook.com/mycareflight,instagram.com/mycareflight/,linkedin.com/company/careflight
Air Cargo Belize,BZ,,,,CARGOBELIZE,N/A,,,,,,,,,,,,,,
Air Cargo Carriers,US,2Q,,,NIGHTCARGO,N/A,0,,,1,1,27,34.2,0,0,,,facebook.com/aircargocarriers,,
Air Cargo Center,ST,,,,,N/A,,,,,,,,,,,,,,
Cargo Air,BG,,,,CLEVER,N/A,0,,,1,1,6,27.5,0,0,,,facebook.com/Cargo-Air-Ltd-232919556723685,instagram.com/cargoairbg,
Cargo Express,MR,,,,MAURICARGO,N/A,,,,,,,,,,,,,,
Air Cargo Express,US,,,,TURBODOG,N/A,,,,,,,,,,,,,,
International Air Cargo Corporation (IACC),EG,,,,AIRCARGOEGYPT,N/A,,,,,,,,,,,,,,
Cargo Link (Caribbean),BB,,,,CARGOLINK,N/A,,,,,,,,,,,,,,
Air Cargo Masters,US,,,,RUNNER,N/A,,,,,,,,,,,,,,
Air Cargo Mongolia,MN,,,,MONGOLIACARGO,N/A,,,,1,1,,,,,,,,,
Cargo Three,PA,C3*,364,,THIRDCARGO,N/A,,,,1,,,,,,,,,,
Air Cargo Transportation System,KE,,,,AFRISPIRIT,N/A,,,,,,,,,,,,,,
"Air Cargo. Inc,",US,,314,,,N/A,,,,,,,,,,,,,,
Cargojet Airways,CA,W8,489,489,CARGOJET,N/A,1,2025-10-19T00:00:00.000Z,,1,1,25,28,0,0,,,,,
Cargologicair,UK,P3*,560,,FIREBIRD,N/A,0,,,1,,2,16,0,0,,,facebook.com/CargoLogicAir,instagram.com/cargologicair/,linkedin.com/company/cargo-logic-air/
Cargolux Airlines International,LU,CV,172,172,CARGOLUX,N/A,1,2025-10-05T00:00:00.000Z,,1,1,25,10.6,0,0,,,facebook.com/CargoluxAirlines,,linkedin.com/company/cargolux-airlines
Cargolux Italia,IT,C8,356,,CARGOLUXITALIA,N/A,0,,,1,1,4,16,0,0,,,facebook.com/CNN,instagram.com/en_US/embeds.js,
Cargosur,ES,,,,CARGOSUR,N/A,,,,,,,,,,,,,,
Caribbean Airlines,TT,BW,106,106,CARIBBEANAIRLINES,N/A,1,2024-01-26T00:00:00.000Z,1,1,1,16,13,1,0,,,,,
Caribbean Express,US,,,,CARIBX,N/A,,,,,,,,,,,,,,
Caribbean Flights,VE,,,,CARFLIGHTS,N/A,,,,,,,,,,,,,,
Caribbean Airways,BB,,,,CARIBJET,N/A,,,,,,,,,,,,,,
Caribbean Air Tours & Services Charters,HN,,,,CATSA,N/A,,,,,,,,,,,,,,
Caribexpress,BB,,,,WAVEBIRD,N/A,,,,,,,,,,,,,,
Caribintair,HT,,,,CARBINTAIR,N/A,,,,,,,,,,,,,,
Carlisle Air Group,US,,,,CARLISLEAIR,N/A,,,,,,,,,,,,,,
Carpatair Flight Training,RO,,,,SMARTWINGS,N/A,,,,,,,,,,,,facebook.com/Carpatair,,
Carpatair,RO,V3,,21,CARPATAIR,N/A,1,2024-04-29T00:00:00.000Z,1,,1,2,28.5,0,0,,,facebook.com/Carpatair,,
Air Carriers,US,,,,FASTCHECK,N/A,,,,,,,,,,,,,,
Carry Air,FR,,,,QUICKSPEED,N/A,,,,,,,,,,,,,,
Carson Air,CA,,,,CARSON,N/A,,,1,1,,,,,,,,,,
Cascadia Airways,CA,,,,BIGFOOT,N/A,,,1,,,,,,,,,facebook.com/cascadiaair,instagram.com/cascadiaairways/,
Casement Aviation,US,,,,CASEMENT,N/A,,,1,,1,,,,,,,,,
Casino Airlines,US,,,,CASAIR,N/A,,,,,,,,,,,,,,
Casper Air Service,US,,,,CASPERAIR,N/A,,,,,,,,,,,,,,
Caspian Airlines,IR,,,,CASPIAN,N/A,,,1,1,1,6,24.5,,,,,,,
CASS Professional Services,US,,,,SWIFTBIRD,N/A,,,,,,,,,,,,facebook.com/CASS-465579063523136,,
Air Cassai Lda.,AO,,,,AIRCASSAI,N/A,,,,,,,,,,,,,,
Castle Aviation,US,,,,CASTLE,N/A,,,,1,1,15,28.3,,,,,,,
CAT Aviation,CH,,,,EUROCAT,N/A,,,1,,,6,11.7,,,,,facebook.com/cataviationag,instagram.com/cataviation/,linkedin.com/company/cat-aviation/
Catalina Flying Boats,US,,,,CATALINAAIR,N/A,0,,,1,,2,24.5,0,0,,,,,
Cathay Pacific Airways,HK,CX,160,160,CATHAY,N/A,1,2025-04-06T00:00:00.000Z,1,1,1,,,,,,,facebook.com/cathaypacific,instagram.com/cathaypacific,linkedin.com/company/cathay-pacific-airways
Cathelicopters,ES,,,,ROTORCAT,N/A,,,,,,,,,,,,,instagram.com/cathelicopters/,
Catreus AOC,UK,,,,THUNDERCAT,N/A,0,,1,,,9,4.9,0,0,,,facebook.com/Catreus-Ltd-238870996262859,,linkedin.com/company/3352152
Caverton Helicopters,NG,,,,CAVERTONAIR,N/A,0,,1,,1,17,4.8,0,0,,,,,
Cavok Air,UA,,,,CARGOLINE,N/A,,,1,,,4,50,1,,,,,,
Cayman Airways,KY,KX,378,378,CAYMAN,N/A,,,1,1,1,,,,,,,facebook.com/CaymanAirways,instagram.com/caymanairways,
CB SkyShare,US,,,,SKYSHARE,N/A,,,,,,,,,,,,,,
CCS Air,VE,,,,ATLANTIC,N/A,,,,,,,,,,,,,,
CDI Cargo Airlines,CN,,,,HUALONG,N/A,,,,,,,,,,,,,,
Cebgo,PH,DG,,931,BLUEJAY,N/A,0,,1,,1,7,3.7,0,0,,,facebook.com/cebupacificairphilippines,instagram.com/cebupacificair,
cebu pacific,PH,5J,203,203,CEBUAIR,N/A,1,2025-06-09T00:00:00.000Z,1,1,1,26,5,1,0,,,facebook.com/cebupacificairphilippines,instagram.com/cebupacificair,
Cedar Executive,LB,,,,CEDAREX,N/A,0,,1,,,2,4,0,0,,,facebook.com/CedarExecutive,instagram.com/cedar.executive/,
CEGA Aviation,UK,,,,CEGA,N/A,,,,,,,,,,,,facebook.com/CEGAAirAmbulance,,linkedin.com/company/cega-group
Ceiba Intercontinental,GQ,C2,304,304,CEIBALINE,N/A,0,,1,1,1,5,20.8,0,0,,,facebook.com/flyceiba.intercontinental,instagram.com/flyceiba/,
Cello Aviation,UK,,,,CELLOJET,N/A,,,1,,,,,,,,,,,
Cemair,ZA,5Z,,225,CEMAIR,N/A,1,2024-06-03T00:00:00.000Z,1,,1,8,23,0,0,,,,,
Centene Management Company,US,,,,TEMPUS,N/A,,,,,,,,,,,,,,
Centennial Airlines,US,,,,WYOAIR,N/A,,,,,,,,,,,,,,
Air Center Helicopters,US,,,,REPTOR,N/A,0,,1,,,27,15.1,0,0,,,,,
Center Vol,ES,,,,CENTERVOL,N/A,,,,,,,,,,,,,,
Centrafric'air,CF,,,,,N/A,,,,,,,,,,,,,,
Centrafrican Airlines,CF,,,,CENTRAFRICAN,N/A,,,,,,,,,,,,,,
Centrafrique Air Express,CF,,,,EXPRESSCENTRAF,N/A,,,,,,,,,,,,,,
Central Airways,CF,,,,TRYDONAIR,N/A,,,,,,,,,,,,,,
Central Airways,SL,,,,CENTRALLEONE,N/A,,,,,,,,,,,,,,
Central Flying Service,US,,,,CHARTERCENTRAL,N/A,0,,,,,8,32.1,0,0,,,,,
Central Helicopter Service,JP,,,,,N/A,0,,,,,8,14.9,0,0,,,,,
Central Airlines,CN,I9,959,,HOMELAND,N/A,0,,,1,1,1,27,0,0,,,,,
Central Mongolia Airways,MN,,,,CENTRALMONGOLIA,N/A,,,,,,,,,,,,,,
Central Mountain Air,CA,9M,634,634,GLACIER,N/A,0,,1,1,1,22,25.1,0,0,,,facebook.com/flycma,instagram.com/flycmair/,linkedin.com/company/flycma/
Central Queensland Aviation College,AU,,,,,N/A,,,,,,,,,,,,,,
Central Air Southwest,US,,,,CENTRALCOMMUTER,N/A,,,1,1,,1,41,,,,,,,
Central Aviation,US,,,,YOGANAIR,N/A,,,,,,,,,,,,,,
Centre D'essais En Vol,FR,,,,CENTEV,N/A,,,,,,,,,,,,,,
Centre Airlines,US,,,,DUTCHVALLEY,N/A,,,,,,,,,,,,,,
Centre In Charge Of A Flight Information Region Or An Upper Flight Information Region (Whe,,,,,,N/A,,,,,,,,,,,,,,
Centre In Charge Of Flight Information Region Or An Upper Flight Information Region (Wheth,,,,,,N/A,,,,,,,,,,,,,,
Centre of Applied Geodynamica,RU,,,,GEOCENTRE,N/A,,,,,,,,,,,,,,
Centre Pankh Kazakhstan,KZ,,,,TOMA,N/A,,,,,,,,,,,,,,
Centreline,UK,,,,CLIFTON,N/A,,,1,,,8,6.9,,,,,,instagram.com/centrelineav/,linkedin.com/company/centrelineav/
Centro de Formacion Aeronautica de Canarias,ES,,,,FORCAN,N/A,,,,,,,,,,,,,,
Centro de Helicopteros Corporativos,MX,,,,HELICORPORATIVO,N/A,,,,,,,,,,,,,,
Centro de Servicio Aeronautico,MX,,,,CESA,N/A,,,,,,,,,,,,,,
Centro Industrial Aeronautico,VE,,,,CIACA,N/A,,,1,,,,,,,,,,,
Centrum Air,UZ,,,,,N/A,,,,,,,,,,,,,,
Air Century,DO,Y2,,677,CENTURYFLIGHT,N/A,0,,1,1,1,5,22.4,0,0,,,facebook.com/aircentury,instagram.com/aircenturyrd/,linkedin.com/company/aircentury
Cerium Air,KZ,,,,QAZAQEAGLE,N/A,,,,,,,,,,,,,,
Certified Aircraft Dispatch,US,,,,,N/A,,,,,,,,,,,,,,
Cesszani Aviation,ZA,,,,CESSZANI,N/A,,,,,,,,,,,,facebook.com/CessZani-Aviation-285608651540655,,
CET Aviation,GQ,,,,CETAVIATION,N/A,,,,,,,,,,,,,,
CFA Air Charters,ZA,,,,CEEFACHARTER,N/A,,,,,,,,,,,,,,
Chabahar Airline,IR,,,,CHABAHAR,N/A,,,1,,,,,,,,,,,
chair,CH,GM*,,581,EIGER,N/A,0,,1,,1,2,12,0,0,,,facebook.com/flychair.ch,instagram.com/flychair.ch/,linkedin.com/company/chair-airlines/
"Chairman Airmotive II, LLC",US,,,,CHAIRMAN,N/A,,,1,,,,,,,,,,,
Chalair Aviation,FR,CE,,980,CHALLAIR,N/A,1,2024-02-18T00:00:00.000Z,1,,1,12,24.6,,,,,facebook.com/chalairaviation,,
Challenge Air Cargo,MT,X6,752,,CARGOROCK,N/A,,,,1,1,,,,,,,,,
Challenge Airlines IL,IL,5C,700,700,CAL,N/A,1,2025-08-09T00:00:00.000Z,,1,1,,,,,,,facebook.com/calcargo,,linkedin.com/company/cal/
Challenge International Airlines,US,,,,CHALLENGEAIR,N/A,,,,,,,,,,,,,,
Challenge Airlines,BE,X7,744,744,CHALLENGE,N/A,1,2025-11-19T00:00:00.000Z,,1,1,,,,,,,facebook.com/challengeairlinesBE,,linkedin.com/company/ace-air-cargo/
Cham Wings Airlines,SY,,,,SHAMWINGS,N/A,,,1,1,1,2,27,,,,,,instagram.com/cham_wings_airlines_official/,linkedin.com/company/chamwings-airlines
Air Changan,CN,9H,856,856,CHANGAN,N/A,1,2025-11-10T00:00:00.000Z,1,1,1,11,7.2,,,,,,,
Channel Island Aviation,US,,,,CHANNEL,N/A,0,,1,,,6,19,0,0,,,,,
Chantilly Air,US,,,,MARLIN,N/A,0,,1,,,6,13,0,0,,,,,
Chari Aviation Services,TD,,,,CHARISERVICE,N/A,,,,,,,,,,,,,,
Air Charity Network,US,,,,ANGELFLIGHT,N/A,,,,,,,,,,,,,,
Charlie Hammonds Flying Service,US,,,,HAMMOND,N/A,,,,,,,,,,,,,,
"Charlotte, NC Air National Guard",US,,,,,N/A,,,1,,,,,,,,,,,
Air Charter,IS,,,,,N/A,,,,,,,,,,,,,,
Charter Airlines,US,,,,ARCAJET,N/A,,,,,,,,,,,,,,
Air Charter Scotland,UK,,,,SALTIRE,N/A,0,,1,,,7,6,0,0,,,,instagram.com/aircharterscotland,linkedin.com/company/air-charter-scotland-ltd/
Air Charter Scotland Europe,MT,,,,BRAVEHEART,N/A,,,1,,,,,,,,,,instagram.com/aircharterscotland,linkedin.com/company/air-charter-scotland-ltd/
Air Charter World,US,,,,,N/A,,,,,,,,,,,,,,
International Charter Xpress,US,,,,INTEX,N/A,,,,,,,,,,,,,,
Charterlines,US,CQ*,976,,,N/A,,,0,1,0,,,,,,,,,
Charters Ejecutivos,MX,,,,EXECUTIVE,N/A,,,,,,,,,,,,,,
Charters (South African Non Schedules Airways,ZA,,,,SOUTHERNCHARTERS,N/A,,,,,,,,,,,,,,
Chartright Air,CA,,,,CHARTRIGHT,N/A,0,,1,,,41,14.2,0,0,,,facebook.com/chartright,instagram.com/chartrightair,linkedin.com/company/chartright-air-group
Chater JETS,LT,,,,CHARTERJETS,N/A,,,,,,,,,,,,facebook.com/Charter-Jets-200091833344629,,linkedin.com/company/charter-jets/about/
Air Chathams,NZ,3C,,,CHATHAM,N/A,,,1,1,1,11,39.7,,,,,facebook.com/airchathams,instagram.com/airchathams/,linkedin.com/company/air-chathams-limited
CHC Denmark APS,DK,,,,HELIBIRD,N/A,,,,,,,,,,,,,,
CHC Global Operations International,UK,,,,HELIBIRD,N/A,,,,,,,,,,,,facebook.com/CHCHelicopter,,
CHC Global Operations,CA,,,,HUMMINGBIRD,N/A,0,,1,,,4,16.3,0,0,,,facebook.com/CHCHelicopter,,
CHC Helicopters Nigeria,NG,,,,COLIBRI,N/A,,,1,,,,,,,,,,,
CHC Helicopters Netherlands,NL,,,,MAPLELEAF,N/A,,,1,,,,,,,,,facebook.com/CHCHelicopter,,
CHC Helicopters Canada,CA,,,,REDBIRD,N/A,,,,,,,,,,,,facebook.com/CHCHelicopter,,
CHC Helikopter Service,NO,,,,HELIBUS,N/A,,,1,,,21,16,,,,,facebook.com/CHCHelicopter,,
CHC Ireland,IE,,,,IRISHCOASTGUARD,N/A,,,,,,,,,,,,,,
Chemech Aviation (Pvt) Limited,PK,,,,,N/A,,,,,,,,,,,,,,
Chengdu Airlines,CN,EU,811,811,UNITEDEAGLE,N/A,0,,1,1,1,56,4.3,0,0,,,,,
Cherokee Air,BS,,,,ABACO,N/A,,,,,,,,,,,,facebook.com/CherokeeAir,,
Cherry Air,US,,,,CHERRY,N/A,,,,,,,,,,,,,,
Chervon Corporation,US,,,,GULFHAWK,N/A,,,,,,,,,,,,,,
Chesapeake Air Service,US,,,,CHESAPEAKEAIR,N/A,,,,,,,,,,,,,,
Chevron U.S.A.,US,,,,CHEVRON,N/A,0,,1,,,12,5.1,0,0,,,,,
Cheyenne Airways,US,,,,CHEYENNEAIR,N/A,,,,,,,,,,,,,,
Chicago Jet Group,US,,,,WINDYCITY,N/A,0,,1,,,9,31.2,0,0,,,facebook.com/Chicago-Jet-Group-214592878586596,,
"Chief of Staff, USAF",US,,,,AIRCHIEF,N/A,,,,,,,,,,,,,,
Chilchota Taxi Aereo,MX,,,,CHILCHOTA,N/A,0,,,,,2,27,0,0,,,,,
Air China,CN,CA,999,999,AIRCHINA,N/A,1,2025-08-12T00:00:00.000Z,1,1,1,411,7.9,1,0,,,,,
Air China Cargo,CN,CA*,999,,AIRCHINAFREIGHT,N/A,,,,1,1,15,13.1,,,,,,,
China Cargo Airlines,CN,CK,112,112,CHINAKING,N/A,1,2025-11-30T00:00:00.000Z,,1,1,10,8.5,0,0,,,,,
China Central Longhao Airlines,CN,GI,,,AIRCANTON,N/A,0,,,1,1,6,22.7,0,0,,,,,
China Airlines,TW,CI,297,297,DYNASTY,N/A,1,2025-02-25T00:00:00.000Z,1,1,1,,,,,,,,,
China Civil Aviation Flight University,CN,,,,FLIGHTUNIVERSITY,N/A,,,,,,,,,,,,,,
China Eastern Airlines,CN,MU,781,781,CHINAEASTERN,N/A,1,2025-05-10T00:00:00.000Z,1,1,1,376,7,1,0,,,,,
China Express Airlines,CN,G5,987,987,CHINAEXPRESS,N/A,1,2025-05-12T00:00:00.000Z,1,1,1,51,3.8,0,0,,,,,
