Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
ACM Air Charter,DE,,,,BAVARIAN,N/A,,,1,,,7,5.9,,,,,,,
Acme,ES,,,,AMCEAEREO,N/A,,,,,,,,,,,,,,
Acropolis Aviation,UK,,,,ACROPOLIS,N/A,0,,1,,,1,1,0,0,,,,,linkedin.com/company/acropolis-aviation-ltd/
ACT Airlines,TR,9T,556,,CARGOTURK,N/A,1,2024-11-27T00:00:00.000Z,,1,,,,,,,,,,
Act Two,US,,,,WOODWARD,N/A,,,,,,,,,,,,,,
Action Airlines,US,,,,ACTIONAIR,N/A,,,1,,,,,,,,,,,
AD Astra,PL,,,,ADASTRA,N/A,0,,,,,1,11,0,0,,,,,
AD Aviation,UK,,,,FLIGHTVUE,N/A,,,,,,,,,,,,,,
Air Ada,MR,,,,AIRADA,N/A,,,,,,,,,,,,,,
Adam Aircraft Services,SM,,,,ADAM,N/A,,,,,,,,,,,,,,
Addis Air Cargo Services,ET,,,,ADDISCARGO,N/A,,,,,,,,,,,,,,
Addis Airlines,ET,,,,ADDISLINE,N/A,,,,,,,,,,,,,,
Adefa,ES,,,,,N/A,,,,,,,,,,,,,,
Air Adelphi,VC,,,,ADELPHI,N/A,,,1,,,,,,,,,,,
ADI Shuttle Group,US,,,,TECHJET,N/A,,,,,,,,,,,,,,
Adler Aviation,CA,,,,SHOCKWAVE,N/A,,,,,,,,,,,,,,
Administracion Profesional de Aeronaves,MX,,,,AEROPROFESIONAL,N/A,,,,,,,,,,,,,,
Admiral Beverage Corporation,MT,,,,SPEEDGOAT,N/A,,,1,,,,,,,,,,,
Adolf Wurth GmbH,DE,,,,FASTY,N/A,0,,,,,5,11.6,0,0,,,,,
Adro Servicios Aereos,MX,,,,ADROSERVICIOS,N/A,,,,,,,,,,,,,,
Advance Aviation,TH,,,,ADVANCEAVIATION,N/A,0,,1,,,7,9.7,0,0,,,,,
Advance Aviation Jet,TH,,,,LEEJET,N/A,,,,,,,,,,,,,,
Advance Aviation Services,US,,,,,N/A,,,,,,,,,,,,,,
