itinerary_id,stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id
18467-2504050745--32385-1-10968-2504051243,1,2.38,581,cc2,al4,al4
18467-2504050745--32385-1-10968-2504051243,1,2.35,581,cc2,al4,al4
18467-2504051220--32385-1-10910-2504051751,1,2.28,608,cc2,al4,al4
18467-2504051815--32385-1-10968-2504052357,1,2.4,581,cc2,al4,al4
18467-2504051815--32385-1-10968-2504052357,1,2.38,581,cc2,al4,al4
18467-2504051720--32573-0-10968-2504052000,0,3.67,527,cc3,al2,al2
18467-2504050645--32573-0-10968-2504050929,0,3.73,788,cc3,al2,al2
18467-2504051329--32573-0-10968-2504051614,0,3.75,555,cc3,al5,al2
18467-2504051400--31722-0-10968-2504051634,0,3.57,596,cc4,al3,al15
18467-2504051940--31722-0-10968-2504052214,0,3.57,596,cc4,al3,al15
18467-2504050630--32573-1-10968-2504051056,1,1.92,809,cc4,al5,al2
18467-2504050630--32573-1-10968-2504051056,1,2.68,809,cc4,al2,al2
18467-2504050615--32385-1-10910-2504051105,1,2.52,770,cc4,al4,al4
18467-2504050800--31722-1-10968-2504051322,1,1.92,618,cc4,al8,al15
18467-2504050800--31722-1-10968-2504051322,1,2.78,618,cc4,al15,al15
18467-2504050700--31722-1-10968-2504051322,1,2.05,618,cc4,al12,al15
18467-2504050700--31722-1-10968-2504051322,1,2.78,618,cc4,al15,al15
"18390-2504060700--31954,-31825-2-10968-2504061735",2,0.98,329,cc1,al10,al11
"18390-2504061155--31954,-31825-2-10968-2504062254",2,2.65,370,cc1,al14,al14
"18390-2504060700--31954,-31825-3-10968-2504062358",3,0.98,296,cc1,al10,al11
18467-2504060615--32385-1-10910-2504061126,1,2.48,581,cc2,al4,al4
18467-2504061720--32573-0-10968-2504062000,0,3.67,527,cc3,al2,al2
18467-2504060645--32573-0-10968-2504060929,0,3.73,649,cc3,al2,al2
18467-2504061329--32573-0-10968-2504061614,0,3.75,649,cc3,al5,al2
18467-2504061400--31722-0-10968-2504061634,0,3.57,827,cc4,al3,al15
18467-2504061940--31722-0-10968-2504062214,0,3.57,827,cc4,al3,al15
18467-2504060630--32573-1-10968-2504061056,1,1.92,670,cc4,al5,al2
18467-2504060630--32573-1-10968-2504061056,1,2.68,670,cc4,al2,al2
18467-2504060900--31722-1-10968-2504061327,1,2.02,739,cc4,al15,al15
18467-2504060900--31722-1-10968-2504061327,1,2.78,739,cc4,al15,al15
18467-2504061100--31722-1-10968-2504061602,1,2.05,618,cc4,al13,al15
18467-2504061100--31722-1-10968-2504061602,1,2.78,618,cc4,al15,al15
18467-2504060900--31722-1-10968-2504061602,1,2.02,618,cc4,al15,al15
18467-2504060900--31722-1-10968-2504061602,1,2.78,618,cc4,al15,al15
"18390-2504070700--31954,-31825-2-10968-2504071735",2,0.98,267,cc1,al10,al11
"18390-2504071155--31954,-31825-2-10968-2504072254",2,2.65,296,cc1,al14,al14
18467-2504070615--32385-1-10910-2504071126,1,2.48,581,cc2,al4,al4
18467-2504071815--32385-1-10968-2504072357,1,2.4,581,cc2,al4,al4
18467-2504071815--32385-1-10968-2504072357,1,2.38,581,cc2,al4,al4
18467-2504070745--32385-1-10910-2504071513,1,2.38,581,cc2,al4,al4
18467-2504071720--32573-0-10968-2504072000,0,3.67,527,cc3,al2,al2
18467-2504070645--32573-0-10968-2504070929,0,3.73,788,cc3,al2,al2
18467-2504071329--32573-0-10968-2504071614,0,3.75,649,cc3,al5,al2
18467-2504071514--32573-1-10968-2504071916,1,1.92,809,cc4,al5,al2
18467-2504071514--32573-1-10968-2504071916,1,2.52,809,cc4,al2,al2
18467-2504070630--32573-1-10968-2504071056,1,1.92,670,cc4,al5,al2
18467-2504070630--32573-1-10968-2504071056,1,2.68,670,cc4,al2,al2
18467-2504071315--32573-1-10968-2504071756,1,1.92,809,cc4,al5,al2
18467-2504071315--32573-1-10968-2504071756,1,2.63,809,cc4,al2,al2
18467-2504081400--32695-0-10968-2504081634,0,3.57,400,cc1,al3,al3
18467-2504081940--32695-0-10968-2504082214,0,3.57,400,cc1,al3,al3
18467-2504081400--31722-0-10968-2504081634,0,3.57,398,cc1,al3,al15
18467-2504080645--32573-0-10968-2504080929,0,3.73,398,cc1,al2,al2
18467-2504081329--32573-0-10968-2504081614,0,3.75,398,cc1,al5,al2
18467-2504081329--32593-0-10968-2504081614,0,3.75,405,cc1,al5,al1
"18188-2504081235--31147,-31825-2-10968-2504082254",2,2.65,157,cc1,al14,al14
18467-2504080615--32385-1-10910-2504081105,1,2.48,581,cc2,al4,al4
18467-2504080745--32385-1-10968-2504081243,1,2.38,581,cc2,al4,al4
18467-2504080745--32385-1-10968-2504081243,1,2.35,581,cc2,al4,al4
18467-2504081220--32385-1-10910-2504081751,1,2.28,581,cc2,al4,al4
18467-2504081940--32695-0-10968-2504082214,0,3.57,831,cc3,al3,al3
18467-2504081400--32695-0-10968-2504081634,0,3.57,1088,cc3,al3,al3
18467-2504081720--32573-0-10968-2504082000,0,3.67,527,cc3,al2,al2
18467-2504080645--32573-0-10968-2504080929,0,3.73,649,cc3,al2,al2
18467-2504081329--32573-0-10968-2504081614,0,3.75,788,cc3,al5,al2
18467-2504081100--32695-1-10968-2504081602,1,2.05,620,cc3,al13,al3
18467-2504081100--32695-1-10968-2504081602,1,2.78,620,cc3,al15,al3
18467-2504081730--32695-1-10968-2504082250,1,2.0,853,cc3,al15,al3
18467-2504081730--32695-1-10968-2504082250,1,2.85,853,cc3,al15,al3
18467-2504081700--32695-1-10968-2504082245,1,1.35,839,cc3,al3,al3
18467-2504081700--32695-1-10968-2504082245,1,4.25,839,cc3,al8,al3
18467-2504080900--32695-1-10968-2504081602,1,2.02,620,cc3,al15,al3
18467-2504080900--32695-1-10968-2504081602,1,2.78,620,cc3,al15,al3
18467-2504081618--32695-1-10968-2504082344,1,3.9,620,cc3,al15,al3
18467-2504081618--32695-1-10968-2504082344,1,2.0,620,cc3,al15,al3
18467-2504081514--32573-1-10968-2504081916,1,1.92,670,cc4,al5,al2
18467-2504081514--32573-1-10968-2504081916,1,2.52,670,cc4,al2,al2
18467-2504081820--32573-1-10968-2504082326,1,1.92,549,cc4,al5,al2
18467-2504081820--32573-1-10968-2504082326,1,2.85,549,cc4,al2,al2
18467-2504090615--31679-1-10910-2504091105,1,2.48,506,cc1,al4,al16
18467-2504090745--31679-1-10968-2504091243,1,2.38,457,cc1,al4,al16
18467-2504090745--31679-1-10968-2504091243,1,2.35,457,cc1,al4,al16
18467-2504091220--31679-1-10910-2504091751,1,2.28,460,cc1,al4,al16
18467-2504091815--31679-1-10968-2504092357,1,2.4,457,cc1,al4,al16
18467-2504091815--31679-1-10968-2504092357,1,2.38,457,cc1,al4,al16
18467-2504090615--32385-1-10910-2504091105,1,2.48,581,cc2,al4,al4
18467-2504090745--32385-1-10968-2504091243,1,2.38,581,cc2,al4,al4
18467-2504090745--32385-1-10968-2504091243,1,2.35,581,cc2,al4,al4
18467-2504091220--32385-1-10910-2504091751,1,2.28,581,cc2,al4,al4
18467-2504091815--32385-1-10968-2504092357,1,2.4,581,cc2,al4,al4
18467-2504091815--32385-1-10968-2504092357,1,2.38,581,cc2,al4,al4
18467-2504091720--32573-0-10968-2504092000,0,3.67,527,cc3,al2,al2
18467-2504090645--32573-0-10968-2504090929,0,3.73,649,cc3,al2,al2
18467-2504091329--32573-0-10968-2504091614,0,3.75,527,cc3,al5,al2
18467-2504091940--31722-0-10968-2504092214,0,3.57,596,cc4,al3,al15
18467-2504091400--31722-0-10968-2504091634,0,3.57,827,cc4,al3,al15
18467-2504091820--32573-1-10968-2504092326,1,1.92,549,cc4,al5,al2
18467-2504091820--32573-1-10968-2504092326,1,2.85,549,cc4,al2,al2
18467-2504091514--32573-1-10968-2504092131,1,1.92,549,cc4,al5,al2
18467-2504091514--32573-1-10968-2504092131,1,2.77,549,cc4,al2,al2
18467-2504090630--32573-1-10968-2504091256,1,1.92,549,cc4,al5,al2
18467-2504090630--32573-1-10968-2504091256,1,2.68,549,cc4,al2,al2
"18390-2504100700--31954,-31825-2-10968-2504101642",2,0.98,346,cc1,al10,al11
"18390-2504100745--31954,-31825-2-10968-2504102316",2,2.52,365,cc1,al14,al14
"18390-2504100645--31954,-31825-2-10968-2504102316",2,2.52,365,cc1,al14,al14
18467-2504100745--32385-1-10968-2504101243,1,2.38,608,cc2,al4,al4
18467-2504100745--32385-1-10968-2504101243,1,2.35,608,cc2,al4,al4
18467-2504100615--32385-1-10910-2504101126,1,2.48,581,cc2,al4,al4
18467-2504101720--32573-0-10968-2504102000,0,3.67,527,cc3,al2,al2
18467-2504100645--32573-0-10968-2504100929,0,3.73,649,cc3,al2,al2
18467-2504101329--32573-0-10968-2504101614,0,3.75,649,cc3,al5,al2
18467-2504101940--31722-0-10968-2504102214,0,3.57,596,cc4,al3,al15
18467-2504101400--31722-0-10968-2504101634,0,3.57,827,cc4,al3,al15
18467-2504100630--32573-1-10968-2504101056,1,1.92,549,cc4,al5,al2
18467-2504100630--32573-1-10968-2504101056,1,2.68,549,cc4,al2,al2
18467-2504100900--31722-1-10968-2504101332,1,2.02,825,cc4,al15,al15
18467-2504100900--31722-1-10968-2504101332,1,2.78,825,cc4,al15,al15
18467-2504101100--31722-1-10968-2504101602,1,2.05,618,cc4,al13,al15
18467-2504101100--31722-1-10968-2504101602,1,2.78,618,cc4,al15,al15
18467-2504110615--31679-1-10910-2504111126,1,2.48,551,cc1,al4,al16
18467-2504111220--31679-1-10910-2504111751,1,2.28,614,cc1,al4,al16
18467-2504110745--31679-1-10910-2504111513,1,2.38,551,cc1,al4,al16
18467-2504110745--31679-1-10910-2504111751,1,2.38,477,cc1,al4,al16
18467-2504110615--31679-1-10910-2504111751,1,2.48,477,cc1,al4,al16
18467-2504110745--31679-1-10910-2504112143,1,2.38,450,cc1,al4,al16
18467-2504112315--31679-2-10910-2504121412,2,1.4,990,cc1,al16,al16
18467-2504112315--31679-2-10910-2504121412,2,2.97,990,cc1,al4,al16
18467-2504111815--31679-1-10910-2504121105,1,2.4,450,cc1,al4,al16
18467-2504110615--32385-1-10910-2504111126,1,2.48,608,cc2,al4,al4
18467-2504110745--32385-1-10910-2504111513,1,2.38,581,cc2,al4,al4
18467-2504111720--32573-0-10968-2504112000,0,3.67,527,cc3,al2,al2
18467-2504110645--32573-0-10968-2504110929,0,3.73,527,cc3,al2,al2
18467-2504111329--32573-0-10968-2504111614,0,3.75,1161,cc3,al5,al2
18467-2504111940--31722-0-10968-2504112214,0,3.57,596,cc4,al3,al15
18467-2504111400--31722-0-10968-2504111634,0,3.57,827,cc4,al3,al15
18467-2504110630--32573-1-10968-2504111056,1,1.92,809,cc4,al5,al2
18467-2504110630--32573-1-10968-2504111056,1,2.68,809,cc4,al2,al2
18467-2504111820--32573-1-10968-2504112326,1,1.92,549,cc4,al5,al2
18467-2504111820--32573-1-10968-2504112326,1,2.85,549,cc4,al2,al2
18467-2504110615--32385-1-10910-2504111126,1,2.48,797,cc4,al4,al4
18467-2504111514--32573-1-10968-2504112326,1,1.92,549,cc4,al5,al2
18467-2504111514--32573-1-10968-2504112326,1,2.85,549,cc4,al2,al2
18467-2504121400--32695-0-10968-2504121634,0,3.57,435,cc1,al3,al3
18467-2504121940--32695-0-10968-2504122214,0,3.57,398,cc1,al3,al3
18467-2504121329--32593-0-10968-2504121614,0,3.75,440,cc1,al5,al1
18467-2504121220--31679-1-10968-2504121646,1,2.28,447,cc1,al4,al16
18467-2504121220--31679-1-10968-2504121646,1,2.35,447,cc1,al4,al16
18467-2504120615--31679-1-10910-2504121105,1,2.52,444,cc1,al4,al16
18467-2504120745--31679-1-10968-2504121243,1,2.38,460,cc1,al4,al16
18467-2504120745--31679-1-10968-2504121243,1,2.35,460,cc1,al4,al16
18467-2504120700--32695-1-10968-2504121217,1,2.05,420,cc1,al12,al3
18467-2504120700--32695-1-10968-2504121217,1,2.78,420,cc1,al15,al3
18467-2504120800--32695-1-10968-2504121322,1,1.92,420,cc1,al8,al3
18467-2504120800--32695-1-10968-2504121322,1,2.78,420,cc1,al15,al3
18467-2504121220--32385-1-10968-2504121646,1,2.28,581,cc2,al4,al4
18467-2504121220--32385-1-10968-2504121646,1,2.35,581,cc2,al4,al4
18467-2504120615--32385-1-10910-2504121105,1,2.52,608,cc2,al4,al4
18467-2504121220--32385-1-10910-2504121751,1,2.28,581,cc2,al4,al4
18467-2504121940--32695-0-10968-2504122214,0,3.57,598,cc3,al3,al3
18467-2504121400--32695-0-10968-2504121634,0,3.57,1088,cc3,al3,al3
18467-2504121720--32573-0-10968-2504122000,0,3.67,527,cc3,al2,al2
18467-2504120645--32573-0-10968-2504120929,0,3.73,732,cc3,al2,al2
18467-2504121329--32573-0-10968-2504121614,0,3.75,649,cc3,al5,al2
18467-2504120700--32695-1-10968-2504121217,1,2.05,853,cc3,al12,al3
18467-2504120700--32695-1-10968-2504121217,1,2.78,853,cc3,al15,al3
18467-2504120800--32695-1-10968-2504121322,1,1.92,620,cc3,al8,al3
18467-2504120800--32695-1-10968-2504121322,1,2.78,620,cc3,al15,al3
18467-2504121700--32695-1-10968-2504122245,1,1.35,606,cc3,al3,al3
18467-2504121700--32695-1-10968-2504122245,1,4.25,606,cc3,al8,al3
18467-2504121730--32695-1-10968-2504122321,1,2.0,853,cc3,al15,al3
18467-2504121730--32695-1-10968-2504122321,1,2.85,853,cc3,al15,al3
18467-2504121618--32695-1-10968-2504122344,1,3.9,620,cc3,al15,al3
18467-2504121618--32695-1-10968-2504122344,1,2.0,620,cc3,al15,al3
18467-2504121940--31722-0-10968-2504122214,0,3.57,596,cc4,al3,al15
18467-2504121400--31722-0-10968-2504121634,0,3.57,1049,cc4,al3,al15
18467-2504121514--32573-1-10968-2504121916,1,1.92,670,cc4,al5,al2
18467-2504121514--32573-1-10968-2504121916,1,2.52,670,cc4,al2,al2
18467-2504120630--32573-1-10968-2504121056,1,1.92,809,cc4,al5,al2
18467-2504120630--32573-1-10968-2504121056,1,2.68,809,cc4,al2,al2
18467-2504120800--31722-1-10968-2504121322,1,1.92,618,cc4,al8,al15
18467-2504120800--31722-1-10968-2504121322,1,2.78,618,cc4,al15,al15
"18390-2504130700--31954,-31825-2-10968-2504131642",2,0.98,471,cc1,al10,al11
"18390-2504130700--31954,-31825-3-10968-2504140122",3,0.98,439,cc1,al10,al11
18467-2504130615--32385-1-10910-2504131126,1,2.48,645,cc2,al4,al4
18467-2504131220--32385-1-10910-2504131751,1,2.28,808,cc2,al4,al4
18467-2504131720--32573-0-10968-2504132000,0,3.67,788,cc3,al2,al2
18467-2504130645--32573-0-10968-2504130929,0,3.73,649,cc3,al2,al2
18467-2504131329--32573-0-10968-2504131614,0,3.75,788,cc3,al5,al2
18467-2504131940--31722-0-10968-2504132214,0,3.57,596,cc4,al3,al15
18467-2504131400--31722-0-10968-2504131634,0,3.57,827,cc4,al3,al15
18467-2504130630--32573-1-10968-2504131056,1,1.92,809,cc4,al5,al2
18467-2504130630--32573-1-10968-2504131056,1,2.68,809,cc4,al2,al2
18467-2504131100--31722-1-10968-2504131602,1,2.05,849,cc4,al13,al15
18467-2504131100--31722-1-10968-2504131602,1,2.78,849,cc4,al15,al15
"18390-2504140700--31954,-31825-2-10968-2504141642",2,0.98,329,cc1,al10,al11
"18390-2504141305--31954,-31825-3-10968-2504150952",3,0.98,296,cc1,al10,al11
"18390-2504141015--31954,-31825-3-10968-2504150952",3,0.98,296,cc1,al10,al11
18467-2504141324--32385-1-10910-2504141751,1,2.27,661,cc2,al4,al4
18467-2504140615--32385-1-10910-2504141126,1,2.52,745,cc2,al4,al4
18467-2504141720--32573-0-10968-2504142000,0,3.67,527,cc3,al2,al2
18467-2504140645--32573-0-10968-2504140929,0,3.73,788,cc3,al2,al2
18467-2504141329--32573-0-10968-2504141614,0,3.75,649,cc3,al5,al2
18467-2504141400--31722-0-10968-2504141634,0,3.57,827,cc4,al3,al15
18467-2504141940--31722-0-10968-2504142214,0,3.57,1049,cc4,al3,al15
18467-2504141514--32573-1-10968-2504141916,1,1.92,809,cc4,al5,al2
18467-2504141514--32573-1-10968-2504141916,1,2.52,809,cc4,al2,al2
18467-2504140630--32573-1-10968-2504141056,1,1.92,809,cc4,al5,al2
18467-2504140630--32573-1-10968-2504141056,1,2.68,809,cc4,al2,al2
"18390-2504150700--31954,-31825-2-10968-2504151642",2,0.98,267,cc1,al10,al11
"18390-2504150745--31954,-31825-2-10968-2504152316",2,2.52,275,cc1,al14,al14
"18390-2504150645--31954,-31825-2-10968-2504152316",2,2.52,275,cc1,al14,al14
18467-2504151324--32385-1-10910-2504151751,1,2.27,581,cc2,al4,al4
18467-2504150615--32385-1-10910-2504151105,1,2.52,581,cc2,al4,al4
18467-2504151134--32385-1-10968-2504151634,1,2.25,581,cc2,al4,al4
18467-2504151134--32385-1-10968-2504151634,1,2.35,581,cc2,al4,al4
18467-2504150745--32385-1-10968-2504151253,1,2.38,581,cc2,al4,al4
18467-2504150745--32385-1-10968-2504151253,1,2.35,581,cc2,al4,al4
18467-2504151720--32573-0-10968-2504152000,0,3.67,649,cc3,al2,al2
18467-2504150645--32573-0-10968-2504150929,0,3.73,527,cc3,al2,al2
18467-2504151329--32573-0-10968-2504151614,0,3.75,527,cc3,al5,al2
18467-2504151940--31722-0-10968-2504152214,0,3.57,596,cc4,al3,al15
18467-2504151400--31722-0-10968-2504151634,0,3.57,1049,cc4,al3,al15
18467-2504151514--32573-1-10968-2504151916,1,1.92,549,cc4,al5,al2
18467-2504151514--32573-1-10968-2504151916,1,2.52,549,cc4,al2,al2
18467-2504150630--32573-1-10968-2504151056,1,1.92,549,cc4,al5,al2
18467-2504150630--32573-1-10968-2504151056,1,2.68,549,cc4,al2,al2
18467-2504151315--32573-1-10968-2504151756,1,1.92,549,cc4,al5,al2
18467-2504151315--32573-1-10968-2504151756,1,2.63,549,cc4,al2,al2
18467-2504151135--32573-1-10968-2504151756,1,1.92,549,cc4,al5,al2
18467-2504151135--32573-1-10968-2504151756,1,2.63,549,cc4,al2,al2
18467-2504161940--31722-0-10968-2504162214,0,3.57,398,cc1,al3,al15
18467-2504161400--31722-0-10968-2504161634,0,3.57,575,cc1,al3,al15
18467-2504161324--32385-1-10910-2504161751,1,2.27,440,cc1,al4,al4
