itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2601020800--32695-1-10968-2601021311,business,"C$1,110",501,Toronto Pearson International,Chicago O'Hare International,117,1,United Airlines,Air Canada,False,0.268337,2026-01-02,08:00:00,2026-01-02,08:57:00
18467-2601020800--32695-1-10968-2601021311,business,"C$1,110",3658,Chicago O'Hare International,Dallas Fort Worth International,146,1,American Airlines,Envoy Air,False,0.268337,2026-01-02,10:45:00,2026-01-02,13:11:00
18467-2601021000--32695-1-10968-2601021554,business,"C$1,110",8903,Toronto Pearson International,Chicago O'Hare International,118,1,American Airlines,American Airlines,False,0.24565,2026-01-02,10:00:00,2026-01-02,10:58:00
18467-2601021000--32695-1-10968-2601021554,business,"C$1,110",4854,Chicago O'Hare International,Dallas Fort Worth International,154,1,American Airlines,Envoy Air,False,0.24565,2026-01-02,13:20:00,2026-01-02,15:54:00
18467-2601021500--32695-1-10968-2601022224,business,"C$1,095",416,Toronto Pearson International,Montreal Pierre Elliott Trudeau,78,1,American Airlines,American Airlines,False,0.228505,2026-01-02,15:00:00,2026-01-02,16:18:00
18467-2601021500--32695-1-10968-2601022224,business,"C$1,095",8813,Montreal Pierre Elliott Trudeau,Dallas Fort Worth International,274,1,American Airlines,Envoy Air,False,0.228505,2026-01-02,18:50:00,2026-01-02,22:24:00
18467-2601021400--32695-1-10968-2601022224,business,"C$1,095",414,Toronto Pearson International,Montreal Pierre Elliott Trudeau,78,1,American Airlines,American Airlines,False,0.208027,2026-01-02,14:00:00,2026-01-02,15:18:00
18467-2601021400--32695-1-10968-2601022224,business,"C$1,095",8813,Montreal Pierre Elliott Trudeau,Dallas Fort Worth International,274,1,American Airlines,Envoy Air,False,0.208027,2026-01-02,18:50:00,2026-01-02,22:24:00
18467-2601021400--31722-0-10968-2601021642,first,C$842,8078,Toronto Pearson International,Dallas Fort Worth International,222,0,American Airlines,American Airlines,False,0.866801,2026-01-02,14:00:00,2026-01-02,16:42:00
18467-2601021940--31722-0-10968-2601022222,first,"C$1,049",8130,Toronto Pearson International,Dallas Fort Worth International,222,0,Westjet,Delta Air Lines,False,0.564364,2026-01-02,19:40:00,2026-01-02,22:22:00
18467-2601021125--32573-1-10968-2601021555,first,C$578,3604,Toronto Pearson International,Chicago O'Hare International,120,1,Delta Air Lines,Delta Air Lines,False,0.999,2026-01-02,11:25:00,2026-01-02,12:25:00
18467-2601021125--32573-1-10968-2601021555,first,C$578,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,Delta Air Lines,Delta Air Lines,False,0.999,2026-01-02,13:15:00,2026-01-02,15:55:00
18467-2601021310--32573-1-10968-2601021804,first,C$578,3606,Toronto Pearson International,Chicago O'Hare International,120,1,Delta Air Lines,Delta Air Lines,False,0.660093,2026-01-02,13:10:00,2026-01-02,14:10:00
18467-2601021310--32573-1-10968-2601021804,first,C$578,1390,Chicago O'Hare International,Dallas Fort Worth International,161,1,Delta Air Lines,Delta Air Lines,False,0.660093,2026-01-02,15:23:00,2026-01-02,18:04:00
18467-2601020615--32573-1-10968-2601021109,first,C$578,3524,Toronto Pearson International,Chicago O'Hare International,135,1,Delta Air Lines,Delta Air Lines,False,0.519466,2026-01-02,06:15:00,2026-01-02,07:30:00
18467-2601020615--32573-1-10968-2601021109,first,C$578,2247,Chicago O'Hare International,Dallas Fort Worth International,169,1,Delta Air Lines,Delta Air Lines,False,0.519466,2026-01-02,08:20:00,2026-01-02,11:09:00
18467-2601021820--32573-1-10968-2601022338,first,C$578,3610,Toronto Pearson International,Chicago O'Hare International,120,1,Delta Air Lines,Delta Air Lines,False,0.478905,2026-01-02,18:20:00,2026-01-02,19:20:00
18467-2601021820--32573-1-10968-2601022338,first,C$578,3297,Chicago O'Hare International,Dallas Fort Worth International,186,1,Delta Air Lines,Delta Air Lines,False,0.478905,2026-01-02,20:32:00,2026-01-02,23:38:00
18467-2601031825--32573-0-10968-2601032105,economy,C$540,1111,Toronto Pearson International,Dallas Fort Worth International,220,0,United Airlines,Air Canada,False,0.564906,2026-01-03,18:25:00,2026-01-03,21:05:00
18467-2601030809--32573-0-10968-2601031054,economy,C$540,1169,Toronto Pearson International,Dallas Fort Worth International,225,0,United Airlines,Air Canada,False,0.838085,2026-01-03,08:09:00,2026-01-03,10:54:00
18467-2601031405--32573-0-10968-2601031705,economy,C$540,3993,Toronto Pearson International,Dallas Fort Worth International,240,0,United Airlines,SkyWest Delta Connection,False,0.999,2026-01-03,14:05:00,2026-01-03,17:05:00
18467-2601031125--32573-1-10968-2601031555,economy,C$449,3604,Toronto Pearson International,Chicago O'Hare International,120,1,United Airlines,United Airlines,False,0.488646,2026-01-03,11:25:00,2026-01-03,12:25:00
18467-2601031125--32573-1-10968-2601031555,economy,C$449,1961,Chicago O'Hare International,Dallas Fort Worth International,160,1,United Airlines,Republic Airline United Express,False,0.488646,2026-01-03,13:15:00,2026-01-03,15:55:00
18467-2601030615--32573-1-10968-2601031109,economy,C$449,3524,Toronto Pearson International,Chicago O'Hare International,135,1,United Airlines,United Airlines,False,0.492497,2026-01-03,06:15:00,2026-01-03,07:30:00
18467-2601030615--32573-1-10968-2601031109,economy,C$449,2247,Chicago O'Hare International,Dallas Fort Worth International,169,1,United Airlines,Jazz Aviation,False,0.492497,2026-01-03,08:20:00,2026-01-03,11:09:00
